Lebanon,Syrian refugees in Lebanon,LBN002,LBN,Middle east,International displacement,Syrian refugees,No,Individual,,,,,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged,Building totally damaged
Lebanon,Socioeconomic crisis in Lebanon,LBN004,LBN,Middle east,Political and economic crisis,Socioeconomic crisis,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Explosion in Beirut,LBN005,LBN,Middle east,Industrial Accidents,Beirut Explosion,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Drought in Lesotho,LSO002,LSO,Africa,Drought,Drought,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Swaziland,Tanzania,Zambia,Zimbabwe",Southern Africa Regional Food Security Crisis,REG012,"LSO, MDG, MWI, MOZ, NAM, SWZ, TZA, ZMB, ZWE",Africa,Regional crisis,Southern Africa Regional Food Security Crisis,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,Complex crisis in Libya,LBY001,LBY,Africa,Multiple crises country,Complex crisis,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,Mixed migration flows in Libya,LBY002,LBY,Africa,International displacement,Mixed Migration,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Drought in Madagascar,MDG002,MDG,Africa,Drought,Drought,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Floods in Madagascar,MDG004,MDG,Africa,Flood,Floods in Madagascar,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Complex Country Crisis in Madagascar,MDG005,MDG,Africa,Complex crisis,Complex Country Crisis in Madagascar,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Complex crisis in Malawi,MWI002,MWI,Africa,Complex crisis,Complex,Yes,Individual,,,,,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area,Buildings in the affected area
Mali,Complex crisis in Mali,MLI001,MLI,Africa,Complex crisis,Complex crisis,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,Refugees from Mali in Mauritania,MRT002,MRT,Africa,International displacement,Malian refugees,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,Food Security in Mauritania,MRT003,MRT,Africa,Drought,Food security,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Multiple crisis in Mexico,MEX001,MEX,Americas,Multiple crises country,Country Level,Yes,Aggregated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Criminal Violence in Mexico,MEX002,MEX,Americas,Other type of violence,Criminal Violence,No,Individual,,,,,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed,People exposed
Mexico,Mixed Migration in Mexico,MEX003,MEX,Americas,International displacement,Mixed Migration,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Mixed migration flows in Morocco,MAR002,MAR,Africa,International displacement,Mixed Migration,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Complex crisis in Mozambique,MOZ001,MOZ,Africa,Complex crisis,Complex crisis in Mozambique,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Cabo Delgado Islamist Insurgency,MOZ004,MOZ,Africa,Other type of violence,Violent Insurgency in Cabo Delgado,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Food Security Crisis in Mozambique,MOZ006,MOZ,Africa,Food Security,Food Security Crisis in Mozambique,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Multiple crises in Myanmar,MMR001,MMR,Asia,Multiple crises country,Country level,Yes,Aggregated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Rakhine Conflict,MMR002,MMR,Asia,Conflict,Rakhine conflict,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Kachin and Shan Conflict,MMR003,MMR,Asia,Conflict,Kachin and Shan conflict,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Food Security Crisis in Namibia,NAM002,NAM,Africa,Food Security,Food Security Crisis in Namibia,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,Socioeconomic crisis in Nicaragua,NIC001,NIC,Americas,Political and economic crisis,Socioeconomic crisis,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Multiple crises in Niger,NER001,NER,Africa,Multiple crises country,Country level,Yes,Aggregated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Boko Haram in Niger,NER002,NER,Africa,Conflict,Boko Haram,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Mali/Burkina Faso conflict,NER003,NER,Africa,Conflict,Cross-border violence ,No,Individual,,,,,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses,Economic Losses
Niger,Nigerian Refugees,NER004,NER,Africa,International displacement,Nigerian Refugees,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Floods in Niger,NER005,NER,Africa,Flood,Floods,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
