,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Empowerment,BTI - Democracy Status,Trust in society,Ethnic Fractionalisation,size of excluded ethnic groups,Ethnic fractionalisation,Gender Inequality,Income Gini coefficient,Inequality,Social cohesion,Conflict Intensity,Total killed in all crisis,Safety and security,Corruption Perception,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World,Rule of Law,Society and safety,# of different types of affected population groups,Diversity of groups affected,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Access of Humanitarian Actors to Affected Populations,Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Access of People in need to Aid,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Physical and Security Constraints,Humanitarian access,Operating environment
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,2.5,2.8,2.65,0.9,1.2,1.05,3.6,0.9,2.25,1.9833333333333334,3,2.8,2.9,3.7,3.1,3.3,3.1,3.3,2.7,3,3,2,1,1,0,2,1,2,3,1,0,0,1,2,2.5
Floods and Monsoon Rain in Chattogram Division,Floods,BGD009,Bangladesh,BGD,2.5,2.8,2.65,0.9,1.2,1.05,3.6,0.9,2.25,1.9833333333333334,3,2.8,2.9,3.7,3.1,3.3,3.1,3.3,2.7,4,4,2,0,0,0,2,0,0,0,0,0,2,2,1,2.5
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,0.7,1.3,1,2.6,0.7,1.65,2.6,3.6,3.1,1.9166666666666667,4,2.4,3.2,3.3,2.7,1.3,1.3,2.2,2.4,5,5,0,1,0,0,1,0,1,1,0,0,3,3,2,3.5
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,0.7,1.3,1,2.6,0.7,1.65,2.6,3.6,3.1,1.9166666666666667,4,2.4,3.2,3.3,2.7,1.3,1.3,2.2,2.4,5,5,0,1,0,0,1,0,0,0,0,0,3,3,1,3
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,0.7,1.3,1,2.6,0.7,1.65,2.6,3.6,3.1,1.9166666666666667,4,2.4,3.2,3.3,2.7,1.3,1.3,2.2,2.4,1,1,0,1,0,0,1,0,1,1,0,0,3,3,2,1.5
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,3.6,3.2,3.4000000000000004,4.4,1.8,3.1,4.5,3.9,4.2,3.5666666666666664,5,3.5,4.25,3.8,4.2,3.4,4.5,4,3.9,5,5,1,3,2,3,4,0,2,2,3,1,3,5,4,4.5
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,0.7,0.4,0.55,0.8,0.4,0.6000000000000001,1.9,2.4,2.15,1.0999999999999999,3,1.2,2.1,1.7,1.4,0.3,0.5,1,1.4,3,3,0,0,0,0,0,0,2,2,0,2,2,3,2,2.5
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,3.2,3.2,3.2,4.3,0,2.15,3.8,2.7,3.25,2.8666666666666667,5,3.8,4.4,3.8,3.6,3.4,4.1,3.7,3.7,4,4,1,3,3,0,3,2,3,5,3,1,3,5,4,4
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,3.2,3.2,3.2,4.3,0,2.15,3.8,2.7,3.25,2.8666666666666667,5,3.8,4.4,3.8,3.6,3.4,4.1,3.7,3.7,4,4,1,3,2,0,3,0,3,3,3,1,2,4,3,3.5
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.2,3.2,3.2,4.3,0,2.15,3.8,2.7,3.25,2.8666666666666667,5,3.8,4.4,3.8,3.6,3.4,4.1,3.7,3.7,4,4,1,3,3,0,3,2,3,5,3,1,3,5,4,4
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,3.2,3.2,3.2,4.3,0,2.15,3.8,2.7,3.25,2.8666666666666667,5,3.8,4.4,3.8,3.6,3.4,4.1,3.7,3.7,1,1,1,2,1,0,2,0,1,1,0,1,1,2,2,1.5
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,3.9,3.2,3.55,4.7,5,4.85,4.4,2.1,3.25,3.883333333333333,5,4.8,4.9,4.1,4.3,3.6,4.1,4,4.3,4,4,1,3,2,3,4,0,2,2,3,2,3,5,4,4
Complex crisis in Congo,Conflict,COG001,Congo,COG,1.4,3.4,2.4,4.4,5,4.7,3.9,3,3.45,3.516666666666667,1,0.7,0.85,4.1,3.6,3.8,4,3.9,2.8,2,2,0,0,0,0,0,0,0,0,0,0,3,3,1,1.5
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,1.4,1.7,1.5499999999999998,2.1,2.5,2.3,2.7,3.3,3,2.283333333333333,4,3.5,3.75,3.2,2.9,1.9,1.7,2.4,2.8,3,3,0,2,0,0,2,0,2,2,2,2,3,5,3,3
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,1.4,1.7,1.5499999999999998,2.1,2.5,2.3,2.7,3.3,3,2.283333333333333,4,3.5,3.75,3.2,2.9,1.9,1.7,2.4,2.8,3,3,0,2,1,0,2,0,2,2,2,2,3,5,3,3
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,1.1,0.5,0.8,1.5,0.2,0.85,1.9,2.9,2.4,1.3499999999999999,0,x,0,2.2,2,0.3,0.5,1.3,0.9,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.9,3.1,3,2.8,0,1.4,x,2.1,2.1,2.1666666666666665,3,0.9,1.95,3.5,3.4,3.5,3.8,3.6,2.6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,2.9,3.1,3,2.8,0,1.4,x,2.1,2.1,2.1666666666666665,3,0.9,1.95,3.5,3.4,3.5,3.8,3.6,2.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.9,3.1,3,2.8,0,1.4,x,2.1,2.1,2.1666666666666665,3,0.9,1.95,3.5,3.4,3.5,3.8,3.6,2.6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.5,1.6,2.05,0,0.7,0.35,3,2.1,2.55,1.6499999999999997,0,x,0,3.6,2.8,2.4,1.7,2.6,1.4,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,3.9,2.7,3.3,2,2.7,2.35,3,0.3,1.65,2.4333333333333336,3,2.2,2.6,3.3,3.3,2.9,3.3,3.2,2.7,4,4,2,1,1,0,2,0,1,1,0,1,0,1,1,2.5
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.9,2.7,3.3,2,2.7,2.35,3,0.3,1.65,2.4333333333333336,3,2.2,2.6,3.3,3.3,2.9,3.3,3.2,2.7,2,2,2,2,2,0,3,0,2,2,0,1,1,2,2,2
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,3.9,2.7,3.3,2,2.7,2.35,3,0.3,1.65,2.4333333333333336,3,2.2,2.6,3.3,3.3,2.9,3.3,3.2,2.7,3,3,2,2,2,0,3,0,2,2,0,1,1,2,2,2.5
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,1.8,1.4,1.6,1.6,3.1,2.35,2.6,2.6,2.6,2.1833333333333336,3,0,1.5,3.1,3.1,1.8,1.8,2.5,2.1,3,3,0,0,0,2,2,0,1,1,1,1,3,4,2,2.5
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,3.9,3.3,3.5999999999999996,0.8,0.9,0.8500000000000001,3,0.8,1.9,2.1166666666666667,3,1.7,2.35,3.3,2.9,3.5,4,3.4,2.6,2,2,0,0,0,0,0,0,2,2,0,3,0,3,2,2
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,5,3.9,4.45,3.1,0,1.55,x,x,x,3,5,x,5,3.9,4.1,4.4,4.9,4.3,4.1,5,5,3,1,2,0,3,2,2,4,0,2,3,4,5,5
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,1.1,x,1.1,2.5,3,2.75,0.5,1.2,0.85,1.5666666666666667,1,3.3,2.15,1.9,1.5,x,0.4,1.3,1.7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,3.9,3,3.45,3.8,2.7,3.25,3.4,1.3,2.35,3.016666666666667,5,4.6,4.8,3.2,3,3.4,3.8,3.4,3.7,4,4,2,2,2,1,3,0,3,3,3,3,3,5,4,4
International Displacement,Displacement,ETH003,Ethiopia,ETH,3.9,3,3.45,3.8,2.7,3.25,3.4,1.3,2.35,3.016666666666667,5,4.6,4.8,3.2,3,3.4,3.8,3.4,3.7,3,3,2,1,2,0,2,0,2,2,1,3,3,5,3,3
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,3.9,3,3.45,3.8,2.7,3.25,3.4,1.3,2.35,3.016666666666667,5,4.6,4.8,3.2,3,3.4,3.8,3.4,3.7,4,4,2,2,2,0,3,0,2,2,3,3,3,5,3,3.5
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,3.9,3,3.45,3.8,2.7,3.25,3.4,1.3,2.35,3.016666666666667,5,4.6,4.8,3.2,3,3.4,3.8,3.4,3.7,3,3,2,1,1,0,2,0,2,2,2,3,3,5,3,3
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,1.8,x,1.8,0.4,0.3,0.35,0.8,1,0.9,1.0166666666666666,3,3,3,2.6,2.3,x,0.6,1.8,1.9,2,2,1,0,1,0,2,2,0,2,0,0,0,0,1,1.5
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,1.1,3,2.05,2.5,3.9,3.2,3.3,2.9,3.0999999999999996,2.783333333333333,3,4,3.5,3.7,3.6,3.4,2.4,3.3,3.2,5,5,0,0,0,0,0,0,1,1,0,0,3,3,1,3
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,1.8,2.7,2.25,0.8,0.7,0.75,3.2,2.9,3.05,2.0166666666666666,3,4.1,3.55,3.7,3.5,3.4,2.8,3.4,3,3,3,0,1,0,0,1,0,2,2,1,0,3,3,2,2.5
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.1,2.9,2.5,0,0,0,4.1,2,3.05,1.8499999999999999,3,5,4,4.1,3.5,3.5,3.1,3.6,3.2,5,5,0,2,3,3,4,0,2,2,3,0,2,4,3,4
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,2.1,2.9,2.5,0,0,0,4.1,2,3.05,1.8499999999999999,3,5,4,4.1,3.5,3.5,3.1,3.6,3.2,3,3,0,2,2,3,3,0,2,2,3,0,2,4,3,3
Displacement from Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,1.1,1.6,1.35,0.9,0.5,0.7,1.7,0.6,1.15,1.0666666666666667,2,0,1,2.8,2,2.1,1.5,2.1,1.4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,3.2,1.8,2.5,3.9,1.1,2.5,3,1.7,2.35,2.4499999999999997,3,2.5,2.75,3,2.8,2,2,2.5,2.6,4,4,1,2,2,0,2,2,3,5,1,0,3,3,3,3.5
Country Level,"Earthquake,Socio-political,Violence",IDN007,Indonesia,IDN,3.2,1.8,2.5,3.9,1.1,2.5,3,1.7,2.35,2.4499999999999997,3,2.5,2.75,3,2.8,2,2,2.5,2.6,4,4,1,2,2,0,2,2,3,5,1,0,3,3,3,3.5
Earthquake in West Java province,Earthquake,IDN008,Indonesia,IDN,3.2,1.8,2.5,3.9,1.1,2.5,3,1.7,2.35,2.4499999999999997,3,2.5,2.75,3,2.8,2,2,2.5,2.6,4,4,1,0,0,0,1,0,0,0,0,0,2,2,1,2.5
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,2.5,1.4,1.95,4.4,0.1,2.25,3.3,1.3,2.3,2.1666666666666665,3,2.6,2.8,3,2.5,1.5,1.5,2.1,2.4,x,x,2,1,2,0,2,0,2,2,1,1,2,3,2,2
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,5,3.6,4.3,3.4,1.6,2.5,3.3,2.1,2.7,3.1666666666666665,3,x,3,3.7,3.2,3.9,4.2,3.8,3.3,2,2,1,1,1,0,2,2,2,4,0,1,0,1,2,2
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,3,3.65,2.7,0,1.35,3.6,0.6,2.1,2.3666666666666667,5,3.7,4.35,4,4.2,3.1,3.5,3.7,3.5,5,5,0,1,2,0,2,2,3,5,2,3,2,5,4,4.5
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,3,3.65,2.7,0,1.35,3.6,0.6,2.1,2.3666666666666667,5,3.7,4.35,4,4.2,3.1,3.5,3.7,3.5,5,5,0,1,2,0,2,2,3,5,2,3,2,5,4,4.5
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,4.3,3,3.65,2.7,0,1.35,3.6,0.6,2.1,2.3666666666666667,5,3.7,4.35,4,4.2,3.1,3.5,3.7,3.5,5,5,0,1,1,0,2,0,0,0,0,3,0,3,2,3.5
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,0.7,x,0.7,0.6,0.1,0.35,0.5,1.4,0.95,0.6666666666666666,0,4.7,2.35,2.4,2.2,x,0.6,1.7,1.6,3,3,0,1,1,0,2,0,2,2,0,0,1,1,2,2.5
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,4.3,2.8,3.55,2.9,5,3.95,3.1,1.1,2.1,3.1999999999999997,3,0.9,1.95,2.6,2.4,2.9,3.2,2.8,2.7,2,2,0,0,0,0,0,2,2,4,0,2,0,2,2,2
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,3.6,2.6,3.1,4.3,0.8,2.55,3.6,2,2.8,2.8166666666666664,5,x,5,3.6,3,2.3,2.6,2.9,3.6,2,2,1,1,0,1,2,2,2,4,2,1,3,4,3,2.5
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,3.6,2.6,3.1,4.3,0.8,2.55,3.6,2,2.8,2.8166666666666664,5,x,5,3.6,3,2.3,2.6,2.9,3.6,2,2,1,1,0,1,2,2,2,4,2,1,3,4,3,2.5
Drought in Kenya,Drought,KEN003,Kenya,KEN,3.6,2.6,3.1,4.3,0.8,2.55,3.6,2,2.8,2.8166666666666664,5,x,5,3.6,3,2.3,2.6,2.9,3.6,2,2,1,1,0,1,2,2,2,4,2,1,3,4,3,2.5
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,2.9,2.4,2.65,4.1,1,2.55,2.4,0.9,1.65,2.283333333333333,3,0,1.5,3.6,3.4,2.6,2.8,3.1,2.3,2,2,0,1,1,0,2,1,3,4,0,3,1,3,3,2.5
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,2.9,2.4,2.65,4.1,1,2.55,2.4,0.9,1.65,2.283333333333333,3,0,1.5,3.6,3.4,2.6,2.8,3.1,2.3,3,3,0,1,1,0,2,1,3,4,0,3,1,3,3,3
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,4.6,3.8,4.199999999999999,1.4,0,0.7,1.1,x,1.1,2,3,5,4,4.1,4.3,3.6,4.6,4.2,3.4,5,5,1,3,2,0,3,2,3,5,0,1,3,3,4,4.5
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,4.6,3.8,4.199999999999999,1.4,0,0.7,1.1,x,1.1,2,3,5,4,4.1,4.3,3.6,4.6,4.2,3.4,4,4,1,3,2,0,3,2,3,5,0,1,1,2,3,3.5
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,4.6,3.8,4.199999999999999,1.4,0,0.7,1.1,x,1.1,2,3,5,4,4.1,4.3,3.6,4.6,4.2,3.4,5,5,1,2,0,0,2,0,0,0,0,1,3,3,2,3.5
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,3.2,1.7,2.45,2.1,1.1,1.6,2.5,1.8,2.15,2.066666666666667,3,0,1.5,3.1,2.5,1.8,2.3,2.4,2,1,1,0,0,0,0,0,0,0,0,0,2,1,3,1,1
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,3.2,3.2,3.2,2.5,4,3.25,3.3,1.8,2.55,3,3,5,4,3,2.6,3.4,3.2,3.1,3.4,2,2,0,0,1,0,1,1,1,2,0,1,3,3,2,2
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,3.2,3.2,3.2,2.5,4,3.25,3.3,1.8,2.55,3,3,5,4,3,2.6,3.4,3.2,3.1,3.4,4,4,0,0,0,0,0,1,1,2,0,1,1,2,1,2.5
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,3.2,3.2,3.2,2.5,4,3.25,3.3,1.8,2.55,3,3,5,4,3,2.6,3.4,3.2,3.1,3.4,2,2,0,0,1,0,1,0,0,0,0,1,3,3,1,1.5
DIsplacement from Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.5,2.1,2.3,2.1,1.9,2,1.5,0.1,0.8,1.7,2,0,1,3.4,2.9,2.8,2,2.8,1.8,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,2.9,2.3,2.5999999999999996,3.1,0,1.55,x,2.2,2.2,2.1166666666666667,0,1.8,0.9,3.8,3.5,2.9,2,3.1,2,1,1,0,0,0,0,0,0,0,0,0,0,3,3,1,1
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,2.9,2.3,2.5999999999999996,3.1,0,1.55,x,2.2,2.2,2.1166666666666667,0,1.8,0.9,3.8,3.5,2.9,2,3.1,2,1,1,0,0,0,0,0,0,0,0,0,0,3,3,1,1
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,2.9,2.3,2.5999999999999996,3.1,0,1.55,x,2.2,2.2,2.1166666666666667,0,1.8,0.9,3.8,3.5,2.9,2,3.1,2,1,1,0,0,1,0,1,0,0,0,0,0,3,3,1,1
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,1.4,2,1.7,1.7,1.1,1.4,2.2,2.6,2.4000000000000004,1.8333333333333333,4,5,4.5,3.6,3.2,2.5,1.9,2.8,3,5,5,0,2,1,1,2,2,3,5,1,0,1,2,3,4
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,1.4,2,1.7,1.7,1.1,1.4,2.2,2.6,2.4000000000000004,1.8333333333333333,4,5,4.5,3.6,3.2,2.5,1.9,2.8,3,5,5,0,2,0,1,2,2,1,3,1,0,1,2,2,3.5
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,1.4,2,1.7,1.7,1.1,1.4,2.2,2.6,2.4000000000000004,1.8333333333333333,4,5,4.5,3.6,3.2,2.5,1.9,2.8,3,3,3,0,2,1,1,2,2,3,5,1,0,1,2,3,3
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,0.7,2.1,1.4,0.9,0,0.45,4.5,1,2.75,1.5333333333333332,5,4.7,4.85,3.6,3.3,2.8,3,3.2,3.2,5,5,0,3,2,3,4,0,3,3,3,1,3,5,4,4.5
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,5,3.4,4.2,2.6,3,2.8,3.1,0.7,1.9,2.966666666666667,5,5,5,3.6,3.6,3.6,3.5,3.6,3.9,5,5,2,3,3,3,5,2,3,5,3,1,3,5,5,5
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,5,3.4,4.2,2.6,3,2.8,3.1,0.7,1.9,2.966666666666667,5,5,5,3.6,3.6,3.6,3.5,3.6,3.9,4,4,2,3,2,0,3,2,3,5,0,1,3,3,4,4
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,5,3.4,4.2,2.6,3,2.8,3.1,0.7,1.9,2.966666666666667,5,5,5,3.6,3.6,3.6,3.5,3.6,3.9,3,3,2,3,1,0,3,2,3,5,3,1,3,5,4,3.5
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,5,3.4,4.2,2.6,3,2.8,3.1,0.7,1.9,2.966666666666667,5,5,5,3.6,3.6,3.6,3.5,3.6,3.9,3,3,2,3,3,3,5,2,3,5,3,1,3,5,5,4
Cyclone Mocha in Myanmar,"Cyclone,Floods",MMR005,Myanmar,MMR,5,3.4,4.2,2.6,3,2.8,3.1,0.7,1.9,2.966666666666667,5,5,5,3.6,3.6,3.6,3.5,3.6,3.9,4,4,2,3,3,0,4,2,3,5,3,1,3,5,5,4.5
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,2.5,2.8,2.65,4.5,1.7,3.1,3.8,3.6,3.7,3.15,5,3.7,4.35,3.7,3.5,3.5,2.8,3.4,3.6,3,3,1,1,1,1,2,0,3,3,3,1,3,5,3,3
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,2.5,2.8,2.65,4.5,1.7,3.1,3.8,3.6,3.7,3.15,5,3.7,4.35,3.7,3.5,3.5,2.8,3.4,3.6,3,3,1,1,1,1,2,0,3,3,3,1,3,5,3,3
Floods in Maputo province in Mozambique,Floods,MOZ009,Mozambique,MOZ,2.5,2.8,2.65,4.5,1.7,3.1,3.8,3.6,3.7,3.15,5,3.7,4.35,3.7,3.5,3.5,2.8,3.4,3.6,1,1,1,0,0,0,1,0,0,0,0,1,3,3,1,1
Tropical Cyclone Freddy in Mozambique,Cyclone,MOZ010,Mozambique,MOZ,2.5,2.8,2.65,4.5,1.7,3.1,3.8,3.6,3.7,3.15,5,3.7,4.35,3.7,3.5,3.5,2.8,3.4,3.6,2,2,1,0,0,0,1,0,0,0,0,1,3,3,1,1.5
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.2,2.9,3.05,3.3,0,1.65,4.1,1,2.55,2.4166666666666665,2,1.3,1.65,3.6,3.1,3,3.3,3.3,2.5,2,2,0,0,0,0,0,0,0,0,0,2,0,2,1,1.5
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,3.2,2.9,3.05,3.3,0,1.65,4.1,1,2.55,2.4166666666666665,2,1.3,1.65,3.6,3.1,3,3.3,3.3,2.5,3,3,0,0,0,0,0,0,0,0,0,2,0,2,1,2
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,1.4,1.8,1.6,3,0,1.5,4.1,2.5,3.3,2.1333333333333333,0,4.9,2.45,3.5,2.8,2.3,1.9,2.6,2.4,3,3,2,1,0,0,2,0,0,0,0,0,3,3,2,2.5
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,1.4,1.8,1.6,3,0,1.5,4.1,2.5,3.3,2.1333333333333333,0,4.9,2.45,3.5,2.8,2.3,1.9,2.6,2.4,2,2,2,1,0,0,2,0,0,0,0,0,3,3,2,2
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,3.9,2.1,3,3,0.6,1.8,1.8,2,1.9,2.233333333333333,1,0,0.5,2.4,1.9,2.3,2.4,2.3,1.7,3,3,1,1,0,0,2,2,2,4,0,0,0,0,2,2.5
